InstitutionName,ServiceCenterLatitude,ServiceCenterLongitude,ServiceAreaMinLatitude,ServiceAreaMaxLatitude,ServiceAreaMinLongitude,ServiceAreaMaxLongitude,ServiceAreaKmSquared,DistrictsServed,DistrictsServedList,TotalRecords,InstitutionType,IsDistrictLevel,IsCityWide,IsUtilityCompany
Margitszigeti Szabadtéri Színház,47.530548,19.050077,47.530548,47.530548,19.050077,19.050077,0.0,1,XIII. kerület,1,Other Municipal,0,0,0
McDonald's,47.532751,19.129374,47.515254,47.550248,19.11996,19.138789,7.97,2,"XV. kerület, XIV. kerület",2,Other Municipal,0,0,0
Metropol,47.51133,19.101337,47.51133,47.51133,19.101337,19.101337,0.0,1,XIV. kerület,1,Other Municipal,0,0,0
Mi Hazánk Mozgalom,47.444944,19.11917,47.444944,47.444944,19.11917,19.11917,0.0,1,XX. kerület,1,Other Municipal,0,0,0
Millenáris Park,47.510717,19.025959,47.510132,47.511467,19.02407,19.027464,0.05,1,II. kerület,7,Parks & Environment,0,0,0
MÁV Zrt.,47.500206,19.090294,47.406384,47.580916,19.017523,19.244146,478.59,15,"I. kerület, XXII. kerület, VI. kerület, X. kerület, XI. kerület",78,Other Municipal,0,0,1
MÁV-HÉV Zrt. (BKK),47.52066,19.076566,47.4697,47.598106,19.03797,19.217214,278.49,7,"III. kerület, XIV. kerület, XVI. kerület, I. kerület, II. kerület",32,Other Municipal,0,0,1
MÜPA - Művészetek Palotája,47.469678,19.070504,47.469678,47.469678,19.070504,19.070504,0.0,1,IX. kerület,1,Other Municipal,0,0,0
Mömax,47.552007,19.044113,47.55083,47.553184,19.042812,19.045415,0.07,1,III. kerület,2,Other Municipal,0,0,0
NAIH Nemzeti Adatvédelmi és Információszabadság Hatóság,47.483137,19.149622,47.483137,47.483137,19.149622,19.149622,0.0,1,X. kerület,1,Other Municipal,0,0,0
NKE Szolgáltató Kft.,47.48082,19.088393,47.48082,47.48082,19.088393,19.088393,0.0,1,VIII. kerület,1,Other Municipal,0,0,1
Nemzeti Sportközpontok,47.459808,19.066591,47.459506,47.460111,19.066008,19.067174,0.01,1,XXI. kerület,2,Other Municipal,0,0,0
